,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,District,Population_Estimate_2018,Population_Census_2008,Area_KM,Density_Per_KM,Socio_Economic_Cluster,Socio_Economic_Ranking,latitude,longitude,Categorical_value
79,Arraba,32.8486132,35.3358268,La Dolce Vita Ice Cream,32.862505,35.299516,Ice Cream Shop,North,25369.0,20600.0,8.25,3097.1,2,49,32.8486132,35.3358268,low
80,Ashdod,31.7977314,34.6529922,Gambrinus / Гамбринус / גמברינוס,31.78626129708574,34.64604847694873,Gastropub,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
83,Ashdod,31.7977314,34.6529922,Aroma Cafe,31.792291341597622,34.639121811419,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
84,Ashdod,31.7977314,34.6529922,Black Bar N' Burger Ashdod,31.794283884901084,34.640491911611996,Burger Joint,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
88,Ashdod,31.7977314,34.6529922,Kira (קירה),31.81421,34.645247,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
89,Ashdod,31.7977314,34.6529922,aroma Lev Ashdod,31.79702829984774,34.64809384240985,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
90,Ashdod,31.7977314,34.6529922,VOX RestoBar (ווקס),31.79910568710517,34.632760899896276,Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
91,Ashdod,31.7977314,34.6529922,Cancun,31.812159,34.657804,Gastropub,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
92,Ashdod,31.7977314,34.6529922,Deli Cream,31.78745691499218,34.644771333545016,Ice Cream Shop,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
93,Ashdod,31.7977314,34.6529922,פבלה Pavella,31.8130713515519,34.64143691811404,Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
94,Ashdod,31.7977314,34.6529922,España (אספניה),31.811657882945408,34.6443877511523,Spanish Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
95,Ashdod,31.7977314,34.6529922,Idi (אידי),31.8197380815241,34.667341308273045,Seafood Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
97,Ashdod,31.7977314,34.6529922,Cafe Greg,31.81104432773629,34.653897392584206,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
98,Ashdod,31.7977314,34.6529922,Pnina Pie,31.78793806447258,34.643145148650376,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
101,Ashdod,31.7977314,34.6529922,Petra,31.80055724024765,34.633404380615346,Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
102,Ashdod,31.7977314,34.6529922,Frangelico (פרנג'ליקו),31.794257364423558,34.640436952767004,Asian Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
103,Ashdod,31.7977314,34.6529922,Cafe' Lyon,31.791083500545767,34.63795819912102,Breakfast Spot,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
106,Ashdod,31.7977314,34.6529922,Aroma (ארומה),31.808893788657958,34.658152912403864,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
113,Ashdod,31.7977314,34.6529922,Japanika,31.8086135495736,34.658031840582645,Sushi Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
117,Ashdod,31.7977314,34.6529922,Corsar,31.793846,34.629707,Seafood Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
119,Ashdod,31.7977314,34.6529922,Burgus Burger Bar (B.B.B.),31.813221474148595,34.65840000355302,Burger Joint,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
120,Ashdod,31.7977314,34.6529922,Aroma (ארומה),31.792474974580024,34.63908225445176,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
121,Ashdod,31.7977314,34.6529922,Calma (קלמה),31.806991139490457,34.6365546005729,Café,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
126,Ashdod,31.7977314,34.6529922,One Sushi Bar,31.78748000423932,34.644739998680926,Sushi Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
128,Ashdod,31.7977314,34.6529922,Pazel (פאזל),31.801066701568907,34.63373757140036,Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
129,Ashdod,31.7977314,34.6529922,McDonald's,31.790810426975597,34.63976842148346,Fast Food Restaurant,South,224628.0,204300.0,47.2,4783.9,5,118,31.7977314,34.6529922,mid
145,Ashkelon,31.6644874,34.5730157,Archie,31.676253772909572,34.554679405302906,Middle Eastern Restaurant,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
147,Ashkelon,31.6644874,34.5730157,Linda Restaurant & Bistro (לינדה),31.6856781608165,34.56687577425028,French Restaurant,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
148,Ashkelon,31.6644874,34.5730157,Domino's Pizza,31.67437106500507,34.5696541311764,Pizza Place,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
150,Ashkelon,31.6644874,34.5730157,Scubar (סקובר),31.683159700538834,34.55684625440501,Restaurant,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
156,Ashkelon,31.6644874,34.5730157,Aroma espresso bar,31.6763685640372,34.60630927494766,Café,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
157,Ashkelon,31.6644874,34.5730157,Meat Me,31.66054120423596,34.601879160248146,BBQ Joint,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
161,Ashkelon,31.6644874,34.5730157,PIZZA 🍕🇮🇱,31.655629,34.563206,Pizza Place,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
162,Ashkelon,31.6644874,34.5730157,Marin Brasserie,31.683236297211508,34.55653826338274,Eastern European Restaurant,South,140968.0,110600.0,47.8,2964.8,5,127,31.6644874,34.5730157,mid
170,Bat Yam,32.0154565,34.7505283,צחי בשרים,32.01892527219496,34.744995493487366,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
175,Bat Yam,32.0154565,34.7505283,Barbara Beach,32.0246478435864,34.73967699053569,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
187,Bat Yam,32.0154565,34.7505283,Victory,32.02004824553441,34.73923294489439,Ice Cream Shop,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
189,Bat Yam,32.0154565,34.7505283,Aroma (ארומה),32.020311194376575,34.739289416063365,Coffee Shop,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
190,Bat Yam,32.0154565,34.7505283,Japanika,32.02050718524495,34.739294235364035,Sushi Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
193,Bat Yam,32.0154565,34.7505283,מאפיית הגבול,32.03286487876603,34.74412668628646,Bakery,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
196,Bat Yam,32.0154565,34.7505283,Villa Mare,32.022000326289294,34.73876917935147,Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
197,Bat Yam,32.0154565,34.7505283,Tayo Fish Chef / תאיו שף דגים,32.006795841846206,34.73528870520599,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
198,Bat Yam,32.0154565,34.7505283,Pak E / Пак И (פק היי),32.022576653496586,34.74145174026489,Chinese Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
199,Bat Yam,32.0154565,34.7505283,Fish,31.992215615838102,34.747866500877265,Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
200,Bat Yam,32.0154565,34.7505283,Tampopo - Sushi Bar (ופו - סושי בר),32.02334636062571,34.73996900678654,Sushi Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
201,Bat Yam,32.0154565,34.7505283,Shanti / Шанти / שנטי,32.0270105442988,34.74080182968595,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
202,Bat Yam,32.0154565,34.7505283,Aroma / ארומה,32.02715774565765,34.74660045695863,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
208,Bat Yam,32.0154565,34.7505283,Oshi Oshi / אושי אושי,32.02271487956966,34.775727947589964,Sushi Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
209,Bat Yam,32.0154565,34.7505283,הצדף,31.990486339118902,34.75079946650401,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
211,Bat Yam,32.0154565,34.7505283,Deda (דדה),32.024118580055266,34.74034760338714,Caucasian Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
214,Bat Yam,32.0154565,34.7505283,Aflooka - Fish & Sea Food,32.04505235828757,34.74848682275471,Food Truck,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
215,Bat Yam,32.0154565,34.7505283,Baku / Баку / בקו,32.03443641438535,34.74548655454552,Eastern European Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
217,Bat Yam,32.0154565,34.7505283,Cassis,32.038108616558894,34.745617524904034,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
218,Bat Yam,32.0154565,34.7505283,Pepe,31.998828073414067,34.73259287362155,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
220,Bat Yam,32.0154565,34.7505283,Abu Hassan (אבו חסן),32.04934853143503,34.75751934449005,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
222,Bat Yam,32.0154565,34.7505283,Ali Karawan Abu Hassan (עלי קרואן אבו חסן),32.05025128342149,34.75082645948992,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
224,Bat Yam,32.0154565,34.7505283,The Old Man & The Sea العجوز والبحر הזקן והים,32.04304881667656,34.747830134627144,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
225,Bat Yam,32.0154565,34.7505283,Agadir (אגאדיר),31.991499953729278,34.775252517056096,Burger Joint,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
228,Bat Yam,32.0154565,34.7505283,Segev Express @ Ha-Zahav Mall,31.991899371553316,34.7731588666859,Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
230,Bat Yam,32.0154565,34.7505283,פרנצ׳סקה,31.998840989991226,34.7324671339538,Italian Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
231,Bat Yam,32.0154565,34.7505283,שיפודי זיקה,32.04100170525864,34.75139224290966,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
233,Bat Yam,32.0154565,34.7505283,שייקלה,31.988154279452637,34.76441917741001,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
236,Bat Yam,32.0154565,34.7505283,Cofix / קופיקס,32.02245463647243,34.77623541824546,Coffee Shop,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
237,Bat Yam,32.0154565,34.7505283,Bistro 60,32.048957701193416,34.75000308283297,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
239,Bat Yam,32.0154565,34.7505283,קפה גן סיפור,32.00853448644384,34.78171960547664,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
240,Bat Yam,32.0154565,34.7505283,Roladin (רולדין),31.986704820205883,34.764306649253676,Bakery,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
242,Bat Yam,32.0154565,34.7505283,Andre's Gelato (גלידה אנדרי),32.042147869943385,34.75172980068472,Ice Cream Shop,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
244,Bat Yam,32.0154565,34.7505283,אפלוקה,32.04501825110742,34.748562367725626,Seafood Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
245,Bat Yam,32.0154565,34.7505283,Francheska,31.998863350579683,34.73246177471563,Italian Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
246,Bat Yam,32.0154565,34.7505283,Aroma (ארומה),32.01289538012437,34.778688113317195,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
249,Bat Yam,32.0154565,34.7505283,Aroma (ארומה),31.990174870003198,34.77392553546116,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
250,Bat Yam,32.0154565,34.7505283,River Noodle Bar,31.989754940531384,34.77392760337537,Asian Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
251,Bat Yam,32.0154565,34.7505283,Layla Beach,31.998483648708554,34.73189854559752,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
253,Bat Yam,32.0154565,34.7505283,נאפיס,31.9955902458959,34.766711497910954,Middle Eastern Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
256,Bat Yam,32.0154565,34.7505283,גומבה ראשון,31.992353944454027,34.77290057931708,Italian Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
260,Bat Yam,32.0154565,34.7505283,מוטראן קונדיטוריה,32.04203071258107,34.75164185946452,Dessert Shop,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
262,Bat Yam,32.0154565,34.7505283,לגעת באוכל,31.990424,34.765637,Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
263,Bat Yam,32.0154565,34.7505283,Bistro 45,32.02320511614913,34.7746444360871,Steakhouse,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
265,Bat Yam,32.0154565,34.7505283,Baileys,32.00033,34.733447,Gastropub,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
266,Bat Yam,32.0154565,34.7505283,Max Brener,31.99012838785629,34.773092105460265,Café,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
267,Bat Yam,32.0154565,34.7505283,Japanika @ Cinema City,31.98393051176042,34.77031334252873,Sushi Restaurant,Tel Aviv,128774.0,130300.0,8.2,15758.4,5,130,32.0154565,34.7505283,mid
268,Beersheba,31.243798,34.7835916,Cafè Lola,31.23689113296055,34.788170772092634,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
271,Beersheba,31.243798,34.7835916,סבא ג'בטו Saba G'betto,31.2472219959657,34.798718962143475,Sandwich Place,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
274,Beersheba,31.243798,34.7835916,BBB,31.244567397843845,34.812358600911224,Burger Joint,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
276,Beersheba,31.243798,34.7835916,Kampai (קמפאי),31.244386305576914,34.81139739971246,Asian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
278,Beersheba,31.243798,34.7835916,פסטינה,31.258355069004136,34.792511019891535,Italian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
279,Beersheba,31.243798,34.7835916,Arabica world wide kitchen,31.238734718582684,34.7877040994696,Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
280,Beersheba,31.243798,34.7835916,Kampai street wok,31.242713700639385,34.81078344869593,Asian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
281,Beersheba,31.243798,34.7835916,Kepasa,31.24418267601916,34.81293530231673,Tapas Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
282,Beersheba,31.243798,34.7835916,Aroma (ארומה),31.262593387456292,34.79935770382019,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
283,Beersheba,31.243798,34.7835916,Landwer Café (קפה לנדוור),31.24358519175562,34.812374119523746,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
285,Beersheba,31.243798,34.7835916,Agadir (אגדיר),31.260981430043735,34.806658351005375,Burger Joint,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
290,Beersheba,31.243798,34.7835916,נאפיס באר-שבע,31.245660066517765,34.81380917884955,Diner,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
294,Beersheba,31.243798,34.7835916,שניצהלה,31.265124307685877,34.801637865910195,Sandwich Place,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
295,Beersheba,31.243798,34.7835916,Smilansky Tapas Bar,31.237356247992214,34.78758865051184,Tapas Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
296,Beersheba,31.243798,34.7835916,Aroma (ארומה),31.250350799181078,34.77305702079301,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
300,Beersheba,31.243798,34.7835916,Aroma (ארומה),31.244431192377615,34.81136564750001,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
301,Beersheba,31.243798,34.7835916,Japanika | Grand Mall Beer Sheva,31.250555,34.770378,Asian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
304,Beersheba,31.243798,34.7835916,מאפיית הראשונים,31.238535952191395,34.77358568298108,Bakery,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
307,Beersheba,31.243798,34.7835916,Black Bar 'n' Burger,31.247639196593642,34.81218015371224,Burger Joint,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
308,Beersheba,31.243798,34.7835916,Little India (הודו הקטנה),31.26767438464676,34.80028137594325,Indian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
311,Beersheba,31.243798,34.7835916,Soyami,31.26741879266001,34.80021417317296,Sushi Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
313,Beersheba,31.243798,34.7835916,Pasta Bar (פסטה בסטה),31.267892,34.800243,Italian Restaurant,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
314,Beersheba,31.243798,34.7835916,Yellow,31.278211512406806,34.794314224542845,Café,South,209002.0,193400.0,117.5,1751.7,5,136,31.243798,34.7835916,mid
318,Beit She'an,32.4967519,35.4973022,שיפודי הכיכר,32.50194962450907,35.49314486283317,BBQ Joint,North,18227.0,16900.0,7.3,2379.9,4,107,32.4967519,35.4973022,low
320,Beit She'an,32.4967519,35.4973022,קפה קפה בית שאן,32.511713213624276,35.50240739634076,Coffee Shop,North,18227.0,16900.0,7.3,2379.9,4,107,32.4967519,35.4973022,low
322,Beit Shemesh,31.746214,34.9886825,Cafe Rimon,31.756256135980216,34.99072894702942,Café,Jerusalem,118676.0,72700.0,34.3,2866.6,2,25,31.746214,34.9886825,low
323,Beit Shemesh,31.746214,34.9886825,Aroma,31.756600133834404,34.985885979128916,Café,Jerusalem,118676.0,72700.0,34.3,2866.6,2,25,31.746214,34.9886825,low
326,Beit Shemesh,31.746214,34.9886825,Cafe Ne'eman,31.75431698319062,34.99348766832789,Café,Jerusalem,118676.0,72700.0,34.3,2866.6,2,25,31.746214,34.9886825,low
336,Bnei Brak,32.0873899,34.8324376,בכור את שושי,32.0933663575281,34.832531390820456,Middle Eastern Restaurant,Tel Aviv,198863.0,151800.0,7.1,25709.4,2,17,32.0873899,34.8324376,low
337,Bnei Brak,32.0873899,34.8324376,המכולת,32.08009751930219,34.82207301848932,Café,Tel Aviv,198863.0,151800.0,7.1,25709.4,2,17,32.0873899,34.8324376,low
